id,original_price,speaker_audio_message_count,attachment_count,feedback_score,fee,review_count,reply_message_count,liked_num,people_count,audio_duration,review_score,speaker_message_count,in_promotion,is_refundable,purchasable,has_audition,speaker,tags,subject,created_at,starts_at,index
817035006101823488,19,58,1,4.5,19,56,31,811,433,59992,4.7,80,False,False,True,True,b220e61069c8ce951502ee161e3228be,职业,金融行业升职加薪之路,2017-02-20,2017-03-11,2975
739418631598796800,59,89,13,4.5,59,47,5,569,997,57133,4.4,112,False,False,False,False,b09ea18d0114f41330c2734814b3f0c0,互联网,数据的生产、甄别和使用,2016-07-21,2016-07-26,3181
769589773634383872,307,119,13,4.5,307,80,62,703,836,110267,4.5,134,False,False,True,True,223c3f3147d3f2c09a1245898c0c95aa,金融与经济,高频交易系统探秘,2016-10-12,2016-10-30,578
820277401912221696,9,32,19,4.0,9,33,0,243,273,40997,4.0,53,False,False,True,True,1d97e3eee63c50e391ee2e2f34e41e49,互联网,智能投顾到底是什么,2017-03-01,2017-03-07,4102
776390478852542464,9,73,21,5.0,9,199,33,1101,2839,137367,4.8,118,False,False,True,True,cd483cdee88a84bf169c1c43ff4eb2cc,职业,一个美国金融行业分析师的日常,2016-10-31,2016-11-12,1357
775332275939213312,9,113,37,5.0,9,838,33,1078,4740,81519,4.9,150,False,False,True,True,2b1f1a8e5481f8c3e054bb132dde101a,职业,我在国家博物馆的这五年,2016-10-28,2016-11-05,76
729691769532334080,19,62,10,4.5,19,277,28,1036,2311,69160,4.6,109,False,False,True,True,acb05f758c6249ff1a1d8aac2fe2aee6,教育,到樱花的国度念书去,2016-06-24,2016-07-07,1789
787300194218692608,19,70,35,4.5,19,275,13,3030,4198,82176,4.5,108,False,False,True,True,84ef1660751f9c8718440d05411ded76,教育,如何有效地用英语与外国人沟通？,2016-11-30,2016-12-15,1914
736187458919620608,19,84,8,4.5,19,181,43,535,1871,79559,4.7,119,False,False,True,True,acb05f758c6249ff1a1d8aac2fe2aee6,教育,到樱花的国度念书去（二）,2016-07-12,2016-07-18,1368
827538850153906176,9,36,2,4.5,9,30,4,155,167,83551,4.4,44,False,False,True,True,1e8cd5ca0cab979bf957c027c28d0340,金融与经济,欧盟会解体么？,2017-03-21,2017-04-01,4654
838409472891326464,9,62,67,5.0,9,12,5,138,99,75401,4.9,149,False,False,True,True,3421fa0e4dacfc1296b3e47e50339976,艺术,非洲戏剧：巫术到诺贝尔,2017-04-20,2017-04-30,5377
791692198168137728,9,108,27,5.0,9,33,3,145,214,84852,4.8,136,False,False,True,True,734d04e8592eb8a5502c052e47d9f711,科学技术,美国国家公园系统的百年历程,2016-12-12,2016-12-19,2419
799614587069685760,9,27,1,4.0,9,9,1,152,124,49177,4.2,36,False,False,True,True,b752aa6bbd2637ced36bb7a5fcae3705,教育,如何用西班牙语解释中国历史？,2017-01-03,2017-01-08,3106
770392417122676736,9,106,25,4.5,9,164,55,653,2287,63550,4.4,145,False,False,True,True,d8a909d2d28103b4907abd1f126e2e78,教育,我在美国学计算机,2016-10-14,2016-10-21,710
769539669837778944,9,96,18,4.5,9,50,56,313,896,92802,4.7,120,False,False,True,True,5f0e89a643e8200274e8a83ac3d46019,音乐、影视和游戏, 我在美国学戏剧：关于留学准备和职业发展的想法,2016-10-12,2016-10-20,1908
812004534728671232,9,122,17,4.5,9,1097,95,3039,8150,37775,4.5,184,False,False,True,True,e09139e746335b11b7a07d6cb6b3dfc3,体育,增肌指南：如何变得更强壮？,2017-02-06,2017-03-03,475
889181002390470656,19,89,30,5.0,19,40,0,421,661,97269,4.7,133,False,False,True,True,c87408d027c25ed16bac8dc00768ac07,体育,如何通过跑步拥有健康的身体,2017-09-07,2017-10-17,4119
792749773949140992,19,142,25,4.5,19,382,93,3225,3477,65476,4.6,201,False,False,True,True,440876e577bc9391b22ee2e04db078c3,体育,如何保养和康复膝盖？,2016-12-15,2017-01-09,481
