303,0,7,0,17,76,17,1,4,8,264,0,1,0,0,299,0,0,19,55,7,4,21,8,77,267,1,1,1,1,1,1,1,1,10,396,0
22,0,9,0,40,5,40,12,0,0,38,0,0,0,0,20,0,0,9,195,5,4.5,2950,116,12253,27464,1,1,1,2,1,2,1,1,5,24,0
252,0,2,229,22,28,22,2,5,23,14,13,6,0,0,1335,15,0,9,112,8,4.5,147,13,135,1002,1,1,1,1,1,2,1,1,4,1573,1
614,0,4,841,0,39,0,15,2637,394,27,47,0,0,0,1506,519,0,24,51,21,4.5,16,21,106,198,1,1,1,3,1,1,1,1,9,584,1
663,0,23,242,0,67,0,1,40,108,106,35,3,1,0,1613,33,0,9,32,3,5,2082,23,7840,15902,2,1,1,1,1,2,1,1,11,231,1
79,0,8,824,9,23,9,1,173,107,24,36,0,5,0,106,36,0,19,0,0,4.5,41,0,963,793,1,1,1,3,1,1,1,2,2,39,1
40,0,22,0,11,10,11,0,0,0,35,0,1,0,0,18,0,0,9,139,40,4,39,0,165,268,1,1,1,2,1,2,1,1,15,524,0
50,0,5,40,20,8,20,19,4,2,30,6,0,0,0,19,8,0,49,95,3,5,46,24,406,485,1,1,1,3,1,1,1,1,4,1175,0
0,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,49,79,1,4.5,33,38,481,695,1,1,1,2,1,1,1,1,13,7,0
139,0,11,0,10,28,10,40,17,3,119,1,0,0,0,238,0,0,39,29,0,5,58,18,200,340,1,1,1,2,1,1,1,1,4,835,0
18,0,10,0,26,8,26,0,0,1,1,0,1,0,0,7,0,0,9,31,15,4.5,1812,2,7532,19163,1,1,1,2,1,1,1,1,1,28,0
107,0,18,12,9,21,9,0,5,9,32,60,3,0,0,484,1,0,29,159,60,5,3078,10,19778,16611,2,1,1,1,1,2,1,1,3,72,1
518,0,4,205,0,9,0,4,12,31,37,11,0,0,0,415,53,0,9,53,6,4,3876,20,7845,56464,1,1,1,1,1,1,1,1,7,42,1
2429,0,17,4,11,305,11,59,8,37,871,1,1,0,0,3102,2,0,9,85,13,4,195,0,537,2000,1,1,1,1,1,1,1,1,3,763,0
86,0,9,0,29,12,29,3,0,1,35,2,0,0,0,690,0,0,9,211,5,5,358,90,1064,3495,1,1,1,3,1,1,1,1,3,32,1
53,0,5,0,0,4,0,0,0,7,9,1,1,0,0,5,0,0,9,70,0,4.5,303,22,1579,4762,1,1,1,2,1,1,1,1,17,170,1
61,0,4,2,39,16,39,3,0,12,18,2,0,0,0,139,0,0,19,74,14,4.5,51,2,306,230,1,1,1,3,1,2,1,1,3,330,0
271,0,1,224774,19,74,19,59,129372,141247,46,438,44,93,6,2653,46792,0,19,72,33,4.5,57,14,57,3096,2,1,1,1,1,2,1,1,9,130,0
